"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment-1"
"10/28/2019 20:47:27:655 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","r-mean","r-sd","lambda-1","p-ldd","use-seed?","seed","scenario","number-of-sites","wasps-per-site","percentile-selector","init-sd-occ","homogenous?","show-pop","track-monitoring-area?","base-prop-gm","release-prop-gm","show-pop?","periodicity","init-mean-occ","[step]","total-pop","prop-occupied"
"100","2","0","0.5","3.0E-4","true","10","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12276341","0.9893911343165602"
"117","2","0","0.5","3.0E-4","true","27","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"92","2","0","0.5","3.0E-4","true","2","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273993","0.9898903750546044"
"119","2","0","0.5","3.0E-4","true","29","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"99","2","0","0.5","3.0E-4","true","9","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12275403","0.990202400515882"
"97","2","0","0.5","3.0E-4","true","7","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12271632","0.9897655648700934"
"103","2","0","0.5","3.0E-4","true","13","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12276645","0.989869573357186"
"123","2","0","0.5","0.001","true","3","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"102","2","0","0.5","3.0E-4","true","12","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12274858","0.9899319784494415"
"105","2","0","0.5","3.0E-4","true","15","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12272881","0.9896823580804194"
"126","2","0","0.5","0.001","true","6","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","3","0","4.16033948370187E-5"
"108","2","0","0.5","3.0E-4","true","18","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12272273","0.9895783495933268"
